01 1-6号住宅楼标准层A户型平面图-2
Range: 1811796.40,-565824.07,1832477.30,-549551.42
Box: -358.42,-525.06,158.60,-118.24
Text: 平面布置图, X: -72.24, Y: -510.85
Text: A户型, X: 1823673.41, Y: -557628.34
Text: 餐厅, X: 1824088.72, Y: -555887.25
Text: 卫生间, X: 1822118.98, Y: -555766.88
Text: 厨房, X: 1824351.02, Y: -553771.79
Text: 客厅, X: 1824900.98, Y: -559469.32
Text: 次卧, X: 1821637.18, Y: -559626.78
Text: 主卧, X: 1818600.06, Y: -559645.15
Text: 主卫, X: 1818419.42, Y: -557400.60
Text: 儿童房, X: 1819945.34, Y: -555375.20
Text: 阳台, X: 1824939.76, Y: -561796.35
Text: 北, X: 1814481.37, Y: -551696.00
Text: 北, X: 1814556.51, Y: -551587.02
Text: 纸巾盒 H:600, X: 1813942.31, Y: -557991.09
Text: 置物架 H:1300, X: 1813852.87, Y: -556316.38
Text: 置物架 H:1300, X: 1813852.87, Y: -554293.64
Text: 空调孔(孔底) H:2380, X: 1813466.39, Y: -555888.67
Text: 空调孔(孔底） H:2380, X: 1813391.58, Y: -561315.48
Text: 空调孔(上孔） H:孔上口平梁底, X: 1812803.60, Y: -562210.77
Text: 空调孔(下孔） H:200, X: 1813437.04, Y: -562418.47
