01平面图-2
Range: 87183845.84,38186313.35,87207358.96,38204089.37
Box: 264.43,-881.76,656.31,-585.49
Text: 下, X: 87202694.49, Y: 38193904.56
Text: 大堂, X: 87198572.55, Y: 38194024.93
Text: 主入口, X: 87204970.11, Y: 38194004.71
Text: 走道, X: 87193183.02, Y: 38198619.94
Text: 走道, X: 87193183.02, Y: 38188233.65
Text: 前室, X: 87186769.24, Y: 38194367.85
Text: 候梯厅, X: 87194735.95, Y: 38194024.93
Text: 楼层指示牌, X: 87194650.21, Y: 38197091.03
Text: 电子显示屏, X: 87195033.26, Y: 38195450.66
Text: 楼层指示牌, X: 87194650.21, Y: 38194701.07
Text: 楼层指示牌, X: 87194650.21, Y: 38192291.99
Text: 电子显示屏, X: 87195033.26, Y: 38193022.09
Text: 信报箱, X: 87197804.36, Y: 38201328.21
