02 碧云湾E户型平立面图-1
Range: 690937.39,-115684.67,707485.99,-100813.50
Box: 7836.42,-1439.74,8112.23,-1191.89
Text: 客厅, X: 697578.85, Y: -109961.94
Text: 开敞阳台, X: 699629.96, Y: -112545.09
Text: 家政间, X: 703346.19, Y: -104014.45
Text: 餐厅, X: 699093.10, Y: -106658.65
Text: 次卧室, X: 703243.68, Y: -110482.57
Text: 主卧室, X: 695116.51, Y: -110562.05
Text: 主卫, X: 694233.82, Y: -107349.29
Text: 书房, X: 695158.78, Y: -105350.58
Text: 公卫, X: 697644.20, Y: -104384.04
Text: 厨房, X: 700779.61, Y: -104361.88
Text: 开敞阳台, X: 694976.73, Y: -103664.50
